method,concept,folder,prompt,seed,guidance,steps,num_images,vendi_pixel,vendi_inception,fid,fid_clean,kid_mean,kid_std,clip_score,one_minus_ms_ssim,brisque
dpp,truck,a_cropped_photo_of_a_truck_seed1111_g5.0_s30,a cropped photo of a truck,1111,5.0,30,64,2.495608272280082,4.1398491859436035,134.39915247435925,,-0.0020966402618876946,0.0004762311583392043,27.3857421875,0.8851761661376805,21.152894973754883
dpp,truck,a_cropped_photo_of_a_truck_seed1111_g7.5_s30,a cropped photo of a truck,1111,7.5,30,64,2.2932897581310168,3.6501786708831787,133.54156458579686,,-0.0018006370026362629,0.0006293650831258144,26.91162109375,0.8595865130331367,26.077621459960938
dpp,truck,a_cropped_photo_of_a_truck_seed2222_g3.0_s30,a cropped photo of a truck,2222,3.0,30,64,2.586281335430101,4.220754623413086,135.50939949370962,,-0.002214306082169393,0.00030880255912665036,27.884765625,0.8826947081368417,15.432790756225586
dpp,truck,a_cropped_photo_of_a_truck_seed2222_g5.0_s30,a cropped photo of a truck,2222,5.0,30,64,2.441583588483029,3.7884042263031006,140.4169348171873,,-0.0021646197645700084,0.0004902428002238258,27.159423828125,0.8827464892156422,19.31437873840332
dpp,truck,a_cropped_photo_of_a_truck_seed2222_g7.5_s30,a cropped photo of a truck,2222,7.5,30,64,2.377004559483912,3.676506757736206,143.89655197287033,,-0.0019549298224132094,0.000490861278847258,26.992919921875,0.862896226439625,27.139942169189453
dpp,truck,a_cropped_photo_of_a_truck_seed3333_g3.0_s30,a cropped photo of a truck,3333,3.0,30,64,2.6239701336819636,4.7730841636657715,141.04475501135718,,-0.0024092860480083413,0.00044382258942371076,27.6923828125,0.8722913607535884,16.520803451538086
dpp,truck,a_cropped_photo_of_a_truck_seed3333_g5.0_s30,a cropped photo of a truck,3333,5.0,30,64,2.354183387747659,3.8081297874450684,138.36054170474736,,-0.0022119255089392276,0.00043117975885399544,27.31689453125,0.8468101535970345,20.191314697265625
dpp,truck,a_cropped_photo_of_a_truck_seed3333_g7.5_s30,a cropped photo of a truck,3333,7.5,30,64,2.2336278708210107,3.73990797996521,135.77661379891305,,-0.0023150755122554045,0.0003514181223972269,26.795654296875,0.8361888660583645,26.69588851928711
dpp,truck,a_cropped_photo_of_a_truck_seed4444_g3.0_s30,a cropped photo of a truck,4444,3.0,30,64,2.493580559360803,4.674230098724365,144.66614883927042,,-0.0024204739177000833,0.0005205319014187008,27.770263671875,0.8946421798411757,17.670705795288086
dpp,truck,a_cropped_photo_of_a_truck_seed4444_g5.0_s30,a cropped photo of a truck,4444,5.0,30,64,2.387214082967335,4.1517157554626465,140.0615958852885,,-0.002303756152879877,0.0004635798664820109,27.345947265625,0.884189512617886,22.41721534729004
dpp,truck,a_cropped_photo_of_a_truck_seed4444_g7.5_s30,a cropped photo of a truck,4444,7.5,30,64,2.3178398741945716,3.810225009918213,141.2750266700339,,-0.0020215211827780298,0.0004937311242836319,26.829345703125,0.864472743133083,28.26944351196289
dpp,truck,a_photo_of_a_truck_seed1111_g3.0_s30,a photo of a truck,1111,3.0,30,64,2.430659597383691,3.8982534408569336,144.98081322248493,,-0.002032716818850466,0.00043133138746414906,26.668701171875,0.8439186371536925,17.987504959106445
dpp,truck,a_photo_of_a_truck_seed1111_g5.0_s30,a photo of a truck,1111,5.0,30,64,2.2387274707238687,3.3582446575164795,134.4177050090605,,-0.0019774370436798304,0.0005488449289863315,26.296630859375,0.8323935105185956,22.641427993774414
dpp,truck,a_photo_of_a_truck_seed1111_g7.5_s30,a photo of a truck,1111,7.5,30,64,2.115744638903796,3.0057129859924316,134.27610855965702,,-0.0020085564223817575,0.0005890702799922215,26.061767578125,0.8194691125676036,30.699779510498047
dpp,truck,a_photo_of_a_truck_seed2222_g3.0_s30,a photo of a truck,2222,3.0,30,64,2.443825732677035,3.6087329387664795,133.65121310793313,,-0.002273183108057908,0.0004616656089101746,26.7109375,0.8620737397251651,18.390460968017578
dpp,truck,a_photo_of_a_truck_seed2222_g5.0_s30,a photo of a truck,2222,5.0,30,64,2.255753350766285,3.423893451690674,137.92216236076146,,-0.001988517158919012,0.000706653580575303,26.194580078125,0.8473852874897421,23.97494125366211
dpp,truck,a_photo_of_a_truck_seed2222_g7.5_s30,a photo of a truck,2222,7.5,30,64,2.189624564519189,3.179264545440674,140.05711818849545,,-0.001930731543702624,0.000491568614998295,26.1435546875,0.839995284480974,31.612424850463867
dpp,truck,a_photo_of_a_truck_seed3333_g3.0_s30,a photo of a truck,3333,3.0,30,64,2.329869299008221,3.811535596847534,138.82971652078646,,-0.002264705541692824,0.0004182213140005225,26.86669921875,0.8506321582803502,17.470895767211914
dpp,truck,a_photo_of_a_truck_seed3333_g5.0_s30,a photo of a truck,3333,5.0,30,64,2.1182817916264454,3.2072134017944336,132.05788835580015,,-0.002004948651998206,0.00048294669035627886,26.334716796875,0.8075639053434134,22.74558448791504
dpp,truck,a_photo_of_a_truck_seed3333_g7.5_s30,a photo of a truck,3333,7.5,30,64,2.080841137751993,3.1620190143585205,135.76917030359633,,-0.0017846946450347234,0.0005796951320239071,26.113037109375,0.7979195571597666,30.874683380126953
dpp,truck,a_photo_of_a_truck_seed4444_g3.0_s30,a photo of a truck,4444,3.0,30,64,2.3659110638242793,3.9783694744110107,140.26290198166993,,-0.0021336161561666513,0.00044439663128790596,26.655029296875,0.8736134524550289,18.116893768310547
dpp,truck,a_photo_of_a_truck_seed4444_g5.0_s30,a photo of a truck,4444,5.0,30,64,2.174569950221823,3.1844048500061035,138.91634677265293,,-0.002128717620811682,0.0005309341615729479,26.283935546875,0.8472445481084288,24.136917114257812
dpp,truck,a_photo_of_a_truck_seed4444_g7.5_s30,a photo of a truck,4444,7.5,30,64,2.127481770424729,3.068253755569458,139.1046671475485,,-0.002230134748459944,0.0003489707231038599,26.1689453125,0.819189238967374,30.979293823242188
dpp,truck,a_photo_of_one_truck_seed1111_g3.0_s30,a photo of one truck,1111,3.0,30,64,2.424899672028636,4.235182762145996,134.40671354769353,,-0.0023934382675190103,0.0004305485126149703,27.256103515625,0.8564207804668695,17.36966323852539
dpp,truck,a_photo_of_one_truck_seed1111_g5.0_s30,a photo of one truck,1111,5.0,30,64,2.2333463654159207,3.3045811653137207,134.96712059732872,,-0.002014936731310435,0.0004665822556644726,27.119873046875,0.8389348079729826,21.28635025024414
dpp,truck,a_photo_of_one_truck_seed1111_g7.5_s30,a photo of one truck,1111,7.5,30,64,2.097276558945582,3.2256152629852295,136.96032711732428,,-0.0019621146314477535,0.0006015149631882662,26.838134765625,0.8116381178237497,26.04426383972168
dpp,truck,a_photo_of_one_truck_seed2222_g3.0_s30,a photo of one truck,2222,3.0,30,64,2.4013981436600305,3.6534745693206787,138.47696405726026,,-0.0024241187813527133,0.00035515602149137956,27.4921875,0.8731669686548412,16.29857063293457
dpp,truck,a_photo_of_one_truck_seed2222_g5.0_s30,a photo of one truck,2222,5.0,30,64,2.2012603668079405,3.3367319107055664,135.66094555509892,,-0.002063561614188325,0.00046996691324098765,27.01904296875,0.8451311694644391,18.54999542236328
dpp,truck,a_photo_of_one_truck_seed2222_g7.5_s30,a photo of one truck,2222,7.5,30,64,2.143176882027963,3.083249568939209,134.92044386924363,,-0.0018965512552381546,0.0005059668221796942,26.68603515625,0.8315455490816385,26.18243980407715
dpp,truck,a_photo_of_one_truck_seed3333_g3.0_s30,a photo of one truck,3333,3.0,30,64,2.2988601177753933,4.013387680053711,142.12784597241017,,-0.0023389158801607524,0.00028784263651738704,27.432373046875,0.8424663028959185,15.404228210449219
dpp,truck,a_photo_of_one_truck_seed3333_g5.0_s30,a photo of one truck,3333,5.0,30,64,2.0711581264434247,3.473628282546997,136.36609487997293,,-0.002139908974438631,0.00036465662462328906,27.072998046875,0.8023206132277847,18.402000427246094
dpp,truck,a_photo_of_one_truck_seed3333_g7.5_s30,a photo of one truck,3333,7.5,30,64,2.001831622066613,3.3515374660491943,134.1122836642407,,-0.0020634333812415083,0.00043897479865826497,26.849365234375,0.7933144260384142,25.571266174316406
dpp,truck,a_photo_of_one_truck_seed4444_g3.0_s30,a photo of one truck,4444,3.0,30,64,2.3324242454364734,4.012131690979004,139.02201865298372,,-0.0021944066079917723,0.0003954163286329831,27.3994140625,0.8676844516396522,16.581787109375
dpp,truck,a_photo_of_one_truck_seed4444_g5.0_s30,a photo of one truck,4444,5.0,30,64,2.203388714520343,3.4222452640533447,133.87237807325386,,-0.0021039713317462906,0.00042638885861826295,27.136474609375,0.8445415780972689,22.73297882080078
dpp,truck,a_photo_of_one_truck_seed4444_g7.5_s30,a photo of one truck,4444,7.5,30,64,2.1293529889655103,3.2986249923706055,138.79243851089848,,-0.0018642849385915872,0.0004308236612832075,26.846923828125,0.8189238271396607,26.0285587310791
dpp,truck,a_truck_seed1111_g3.0_s30,a truck,1111,3.0,30,64,2.620632152039052,4.514986038208008,141.154180018709,,-0.002308274885018591,0.00043612892147681026,25.692626953125,0.8474868645705282,18.677289962768555
dpp,truck,a_truck_seed1111_g5.0_s30,a truck,1111,5.0,30,64,2.3672078125261358,3.8213157653808594,136.6503901206189,,-0.0020897250814359003,0.00027482133225119115,25.522216796875,0.8348182063084095,25.072956085205078
dpp,truck,a_truck_seed1111_g7.5_s30,a truck,1111,7.5,30,64,2.2077374256110267,3.2773804664611816,134.80458230004476,,-0.00152730345748473,0.000865973832056875,25.521240234375,0.824641530495137,32.88166046142578
dpp,truck,a_truck_seed2222_g3.0_s30,a truck,2222,3.0,30,64,2.488524600697462,3.9087090492248535,134.30659089693222,,-0.002041885872323834,0.0005577683408489067,25.56494140625,0.8604079110827297,18.777679443359375
dpp,truck,a_truck_seed2222_g5.0_s30,a truck,2222,5.0,30,64,2.3023707043642956,3.519044876098633,140.42625653482486,,-0.002192049701210852,0.0005287679489975085,25.452392578125,0.8381343410536647,24.4014892578125
dpp,truck,a_truck_seed2222_g7.5_s30,a truck,2222,7.5,30,64,2.201872170552267,3.097656011581421,132.09574691841874,,-0.0020198045814319387,0.00043082885907660897,25.505126953125,0.8280894857365638,33.28097915649414
dpp,truck,a_truck_seed3333_g3.0_s30,a truck,3333,3.0,30,64,2.405291219721312,4.523626804351807,134.37945811993677,,-0.0021350152737877213,0.00036430226575745553,25.95068359375,0.8408484670892358,17.629789352416992
dpp,truck,a_truck_seed3333_g5.0_s30,a truck,3333,5.0,30,64,2.15872484554455,3.7005844116210938,134.98741316851846,,-0.0020963198654290636,0.0006680697628098694,25.738525390625,0.8134854753967374,21.89996337890625
dpp,truck,a_truck_seed3333_g7.5_s30,a truck,3333,7.5,30,64,2.134306809805783,3.1932833194732666,144.32184381649407,,-0.0019996504249247373,0.0005354961316715837,25.54150390625,0.7997476839832962,35.04095268249512
dpp,truck,a_truck_seed4444_g3.0_s30,a truck,4444,3.0,30,64,2.4400086117684823,4.037071704864502,135.2458029214094,,-0.002085002584473905,0.0005205820013551827,25.764404296875,0.8545057884976268,19.86233901977539
dpp,truck,a_truck_seed4444_g5.0_s30,a truck,4444,5.0,30,64,2.2292005694359656,3.290637254714966,136.50666130224977,,-0.0021467589144958054,0.0004607869543156505,25.674072265625,0.8419114894978702,26.660537719726562
dpp,truck,a_truck_seed4444_g7.5_s30,a truck,4444,7.5,30,64,2.1721677958894428,3.0605099201202393,139.94236911460257,,-0.0017715450521457177,0.0005624236176995537,25.41455078125,0.8225871158577502,34.30337905883789
